Drug Name
Lepirudin
Cetuximab
Dornase alfa
Denileukin diftitox
Etanercept
Bivalirudin
Leuprolide
Peginterferon alfa-2a
Alteplase
Sermorelin
Interferon alfa-n1
Darbepoetin alfa
Urokinase
Goserelin
Reteplase
Erythropoietin
Salmon calcitonin
Interferon alfa-n3
Pegfilgrastim
Sargramostim
Peginterferon alfa-2b
Asparaginase Escherichia coli
Thyrotropin alfa
"Antihemophilic factor, human recombinant"
Anakinra
Gramicidin D
Human immunoglobulin G
Anistreplase
Insulin human
Tenecteplase
Menotropins
Interferon gamma-1b
Interferon alfa-2a
Desmopressin
Coagulation factor VIIa Recombinant Human
Oprelvekin
Palifermin
Glucagon
Aldesleukin
Botulinum toxin type B
Omalizumab
Lutropin alfa
Lyme disease vaccine (recombinant OspA)
Insulin lispro
Insulin glargine
Collagenase clostridium histolyticum
Rasburicase
Cetrorelix
Adalimumab
Somatotropin
Imiglucerase
Abciximab
Drotrecogin alfa
Gemtuzumab ozogamicin
Indium In-111 satumomab pendetide
Alpha-1-proteinase inhibitor
Pegaspargase
Interferon beta-1a
Pegademase
Albumin human
Eptifibatide
Infliximab
Follitropin
Vasopressin
Interferon beta-1b
Interferon alfacon-1
Hyaluronidase (ovine)
Insulin pork
Trastuzumab
Rituximab
Basiliximab
Muromonab
Digoxin Immune Fab (Ovine)
Ibritumomab tiuxetan
Daptomycin
Tositumomab
Pegvisomant
Botulinum toxin type A
Pancrelipase
Streptokinase
Alemtuzumab
Alglucerase
Capromab pendetide
Laronidase
Cyclosporine
Alefacept
Felypressin
Urofollitropin
Efalizumab
Choriogonadotropin alfa
Antithymocyte immunoglobulin (rabbit)
Filgrastim
Coagulation Factor IX (Recombinant)
Becaplermin
Agalsidase beta
Octreotide
Interferon alfa-2b
Abarelix
Oxytocin
Natalizumab
Enfuvirtide
Palivizumab
Daclizumab
Bevacizumab
Technetium Tc-99m arcitumomab
Pyridoxal phosphate
Cyanocobalamin
Tetrahydrofolic acid
Histidine
Ademetionine
Pyruvic acid
Phenylalanine
Biotin
Choline
Lysine
Arginine
Ascorbic acid
Spermine
Aspartic acid
Ornithine
L-Glutamine
Adenosine phosphate
alpha-Linolenic acid
Serine
Methionine
Tyrosine
Calcitriol
Lutein
Cystine
Succinic acid
Riboflavin
N-Acetylglucosamine
Glutamic acid
Glutathione
Phosphatidyl serine
Glycine
Calcifediol
Pyridoxal
Creatine
Leucine
Tryptophan
Cysteine
Thiamine
Ergocalciferol
Dihomo-gamma-linolenic acid
Citrulline
Threonine
NADH
Folic acid
Icosapent
Alanine
Valine
Vitamin A
Vitamin E
Pyridoxine
Lipoic acid
Isoleucine
Aspartame
Cholecalciferol
Menadione
ATP
Proline
Adenine
Asparagine
Pravastatin
Fluvoxamine
Valsartan
Ramipril
Masoprocol
Flunisolide
Baclofen
Amphetamine
Pentagastrin
Nicotine
Cevimeline
Lorazepam
Esmolol
Bortezomib
Ethchlorvynol
Carbidopa
Phentermine
Indecainide
Tramadol
Vidarabine
Betaxolol
Fluconazole
Troglitazone
Oseltamivir
Erythromycin
Hydroxocobalamin
Caffeine
Succinylcholine
Sildenafil
Dofetilide
Pyrimethamine
Reserpine
Azithromycin
Ticlopidine
Trospium
Adapalene
Midodrine
Remikiren
Pantoprazole
Torasemide
Citalopram
Eletriptan
Bethanidine
Moxifloxacin
Oxyphenonium
Nelfinavir
Isoetharine
Glimepiride
Diflorasone
Indinavir
Gadodiamide
Guanadrel
Lovastatin
Enflurane
Cefotiam
Pregabalin
Temazepam
Methyclothiazide
Aminosalicylic acid
Reboxetine
Milrinone
Pipobroman
Butabarbital
Nevirapine
Oxiconazole
Alclometasone
Butalbital
Cladribine
Ranolazine
Mesalazine
Benzatropine
Ziprasidone
Methysergide
Cabergoline
Idoxuridine
Dapsone
Terconazole
Phenytoin
Medrysone
Doxycycline
Diethylstilbestrol
Lymecycline
Clotrimazole
Calcium acetate
Sulfanilamide
Cycloserine
Anagrelide
Carmustine
Sulfisoxazole
Metoprolol
Crotamiton
Dicoumarol
Cefmenoxime
Ropinirole
Chlorotrianisene
Isradipine
Diatrizoate
Betazole
Topiramate
Cefmetazole
Olmesartan
Amsacrine
Theophylline
Argatroban
Liothyronine
Disopyramide
Lidocaine
Pamidronic acid
Clemastine
Acarbose
Venlafaxine
Conjugated estrogens
Travoprost
Amcinonide
Atomoxetine
Bleomycin
Chlorambucil
Etomidate
Raltitrexed
Etonogestrel
Morphine
Ropivacaine
Bupivacaine
Dapiprazole
Penciclovir
Tenofovir disoproxil
Flucloxacillin
Tranexamic acid
Ertapenem
Desogestrel
Mitomycin
Talbutal
Bexarotene
Ibutilide
Vindesine
Chlorthalidone
Ethoxzolamide
Pentobarbital
Valproic acid
Capreomycin
Zolmitriptan
Acetaminophen
Gefitinib
Codeine
Piperacillin
Dihydroergotamine
Amitriptyline
Floxuridine
Tolcapone
Fluorometholone
Nitroprusside
Calcium glucoheptonate
Hydromorphone
Indomethacin
Ethambutol
Metformin
Ipratropium
Methadone
Olanzapine
Atenolol
Nitrofural
Pimecrolimus
Omeprazole
Pyrazinamide
Metixene
Cetirizine
Terfenadine
Diltiazem
Protriptyline
Aminohippuric acid
Alfuzosin
Trimethadione
Nitisinone
Clobazam
Minoxidil
Megestrol acetate
Tioguanine
Methylergometrine
Buclizine
Aztreonam
Chlorzoxazone
Aminoglutethimide
Mefloquine
Sulfadiazine
Sapropterin
Vinorelbine
Anidulafungin
Clozapine
Sucralfate
Grepafloxacin
Doxylamine
Levonorgestrel
Norepinephrine
Cidofovir
Mirtazapine
Meprobamate
Thiethylperazine
Timolol
Treprostinil
Colestipol
Trihexyphenidyl
Palonosetron
Dydrogesterone
Mexiletine
Dexrazoxane
Amlodipine
Tacrine
Oxyphencyclimine
Triamterene
Valrubicin
Procyclidine
Phenylephrine
Carbimazole
Digoxin
Sulpiride
Profenamine
Nimodipine
Beclomethasone dipropionate
Carisoprodol
Progesterone
Phenylpropanolamine
Sorafenib
Zoledronic acid
Griseofulvin
Nisoldipine
Eszopiclone
Ceruletide
Alprazolam
Dexbrompheniramine
Gentian violet cation
Ardeparin
Loxapine
Remoxipride
Mupirocin
Carbamoylcholine
Rosiglitazone
Pramipexole
Acetohexamide
Ampicillin
Metocurine iodide
Phenoxymethylpenicillin
Secobarbital
Miglustat
Promazine
Spironolactone
Methylphenidate
Methocarbamol
Hyoscyamine
Zolpidem
Famciclovir
Triprolidine
Streptozocin
Carboprost tromethamine
Cefpiramide
Lindane
Trifluridine
Prochlorperazine
Cyproheptadine
Nitric Oxide
Bendroflumethiazide
Allopurinol
Ceftazidime
Cerivastatin
Trimethoprim
Gemcitabine
Entecavir
Betamethasone
Teniposide
Epirubicin
Chloramphenicol
Loracarbef
Lansoprazole
Dipivefrin
Droperidol
Levothyroxine
Framycetin
Clomocycline
Meperidine
Loratadine
Cefalotin
Prazosin
Imipramine
Acitretin
Verteporfin
Nabumetone
Methscopolamine bromide
Metharbital
Sodium tetradecyl sulfate
Ketorolac
Picrotoxin
Enoxacin
Quinine
Tenoxicam
Dronabinol
Montelukast
Fluoxetine
Hexylcaine
Methohexital
Chlordiazepoxide
Duloxetine
Chlorpromazine
Rimantadine
Amikacin
Lenalidomide
Raloxifene
Celecoxib
Gallamine triethiodide
Brimonidine
Dicloxacillin
Nabilone
Pefloxacin
Altretamine
Sotalol
Buspirone
Miglitol
Fosinopril
Cefotaxime
Entacapone
Zidovudine
Darifenacin
Oxycodone
Phenindione
Flutamide
Tolmetin
Cimetidine
Haloperidol
Ritonavir
Levallorphan
Tridihexethyl
Nitazoxanide
Triflupromazine
Dextrothyroxine
Acetyldigitoxin
Vancomycin
Aminocaproic acid
Dextromethorphan
Cisplatin
Bentoquatam
Anisotropine methylbromide
Albendazole
Trandolapril
Caspofungin
Carteolol
Bentiromide
Alitretinoin
Metolazone
Tolnaftate
Oxaliplatin
Cinchocaine
Lercanidipine
Foscarnet
Erlotinib
Cyclophosphamide
Mephenytoin
Rofecoxib
Chlormerodrin
Cefdinir
Guanidine
Ciprofloxacin
Gadoversetamide
Toremifene
Nortriptyline
Vincristine
Benazepril
Amoxapine
Fluorouracil
Pyridostigmine
Adinazolam
Desoximetasone
Azelaic acid
Zafirlukast
Propylthiouracil
Acetohydroxamic acid
Pentostatin
Methoxsalen
Piroxicam
Lamotrigine
Perflutren
Hydroxyzine
Zanamivir
Bosentan
Tigecycline
Doxapram
Benzthiazide
Methotrexate
Carbamazepine
Cisatracurium
Succimer
Cephalexin
Cinnarizine
Fondaparinux
Vinblastine
Propranolol
Atropine
Fenoprofen
Fenfluramine
Clonidine
Sulfamethizole
Valaciclovir
Carbenicillin
Mazindol
Valdecoxib
Lactulose
Voriconazole
Levocarnitine
Enalapril
Nizatidine
Diclofenac
Cinalukast
Fluticasone propionate
Lisuride
Doxazosin
Fluocinolone acetonide
Piperazine
Ethosuximide
Amiloride
Oxytetracycline
Ulobetasol
Gadoteridol
Labetalol
Thiopental
Monobenzone
Linezolid
Ivermectin
Medroxyprogesterone acetate
Cisapride
Sulindac
Cyclothiazide
Nafcillin
Chloroquine
Ethionamide
Metaraminol
Butorphanol
Bisoprolol
Amodiaquine
Furazolidone
Rifabutin
Candoxatril
Paramethadione
Demeclocycline
Imatinib
Triamcinolone
Oxandrolone
Nicardipine
Fluphenazine
Testosterone
Efavirenz
Bacitracin
Niacin
Clorazepic acid
Guanabenz
Alendronic acid
Clofarabine
Docosanol
Dexmedetomidine
Sulfacetamide
Prednisone
Clofibrate
Astemizole
Inulin
Butoconazole
Adenosine
Simvastatin
Pemetrexed
Mebendazole
Gonadorelin
Dyclonine
Nystatin
Dextropropoxyphene
Mitotane
Stavudine
Leucovorin
Dyphylline
Pentazocine
Magnesium sulfate
Latanoprost
Estrone
Trazodone
Mecamylamine
Sevelamer
Acamprosate
Metaxalone
Verapamil
