Category,Drug Count
"Diet, Food, and Nutrition",95
Direct Acting Antivirals,94
Piperidines,94
Actively Acquired Immunity,94
OCT2 Inhibitors,92
Anticonvulsants,92
"Hydrocarbons, Halogenated",92
Recombinant Proteins,91
Indicators and Reagents,91
Physiological Phenomena,91
Imidazoles,91
Corticosteroids,91
Oligopeptides,90
OATP1B3 inhibitors,89
Antioxidants,89
Cytochrome P-450 CYP2C8 Inhibitors (strength unknown),89
OAT3/SLC22A8 Substrates,88
Oxazines,88
Cyclohexanes,86
Diagnostic Uses of Chemicals,86
Reproductive Control Agents,85
Benzazepines,85
Antifungal Agents,85
Anesthetics,85
Cancer immunotherapy,84
Nerve Tissue Proteins,84
"Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",84
Acetates,84
Cytochrome P-450 CYP2B6 Inducers,84
Tyrosine Kinase Inhibitors,84
Serotonin 5-HT2 Receptor Antagonists,83
Ethylamines,83
Antiinflammatory and Antirheumatic Products,83
Metals,83
"Pigments, Biological",82
Non COX-2 selective NSAIDS,82
Dopamine Antagonists,82
Calcium Channel Blockers,82
P-glycoprotein substrates with a Narrow Therapeutic Index,80
Gonadal Hormones,80
Gonadal Steroid Hormones,80
Histamine Agents,79
Neuropeptides,78
Calcium-Regulating Hormones and Agents,78
Cytochrome P-450 CYP2E1 Substrates,78
Cytochrome P-450 CYP2B6 Inhibitors,78
Serotonin Modulators,78
Ketones,78
Kinase Inhibitor,78
Cholinesterase Inhibitors,77
Acids,77
Adrenergic alpha-Antagonists,77
BSEP/ABCB11 Substrates,76
Ribonucleosides,76
Naphthalenes,76
Cytochrome P-450 CYP3A4 Inhibitors (weak),76
Chromones,76
Glycoconjugates,75
Ribonucleotides,75
"Fatty Acids, Unsaturated",75
Pyrimidine Nucleosides,75
Sulfur Acids,75
OATP1B1/SLCO1B1 Substrates,74
Onium Compounds,74
Drugs for Obstructive Airway Diseases,74
Drugs for Functional Gastrointestinal Disorders,74
Diuretics,74
"Anti-Infective Agents, Local",73
Hormone Antagonists,73
"Acids, Noncarboxylic",73
Micronutrients,73
Pregnadienes,73
UGT2B7 substrates,73
"Antiinflammatory and Antirheumatic Products, Non-Steroids",73
Aza Compounds,72
Thiazines,72
Pyrazoles,72
Hemostatics,71
Agents that produce neuromuscular block (indirect),71
Cytochrome P-450 CYP3A5 Inhibitors,71
Polynucleotides,71
Cytokines,70
Drugs Used in Diabetes,70
Sex Hormones and Modulators of the Genital System,70
Cytochrome P-450 CYP2B6 Inducers (strength unknown),70
UGT1A9 Substrates,70
Contrast Media,70
Androstanes,70
Membrane Lipids,69
Cytochrome P-450 CYP3A4 Substrates (strength unknown),69
Ethers,69
Pyrimidinones,69
Cytochrome P-450 CYP2E1 Inhibitors,68
Coenzymes,68
Alkenes,68
Nucleic Acid Synthesis Inhibitors,68
Agents causing angioedema,67
Anti-Asthmatic Agents,67
Amidines,67
Anti-Anxiety Agents,67
Serotonin 5-HT2A Receptor Antagonists,67
Cytochrome P-450 CYP2D6 Inhibitors (weak),66
OCT1 inhibitors,66
Dopamine D2 Receptor Antagonists,66
Agrochemicals,66
Laxatives,66
Anti-HIV Agents,65
Sympathomimetics,65
Pesticides,65
Antihypertensive Agents Indicated for Hypertension,64
MATE inhibitors,64
P-glycoprotein inducers,64
Antihistamines for Systemic Use,64
Muscle Relaxants,63
Anti-Retroviral Agents,63
GABA Agents,63
Influenza Vaccines,63
"Antineoplastic Agents, Immunological",62
Monoclonal antibodies and antibody drug conjugates,62
Cytochrome P-450 CYP1A2 Inducers,62
Hypoglycemia-Associated Agents,62
Hydroxylamines,62
Phenethylamines,62
Purinones,62
"Metals, Heavy",62
Non-Standardized Plant Allergenic Extract,62
Cough and Cold Preparations,61
Cytochrome P-450 CYP3A5 Inducers,61
Polyketides,61
Adrenergic alpha-1 Receptor Antagonists,61
Antimetabolites,60
Adrenergic beta-Agonists,60
Flavonoids,60
Lipid Regulating Agents,59
"Amino Acids, Aromatic",59
Purine Nucleotides,59
OATP1B3 substrates,59
Topoisomerase Inhibitors,59
Metal cations,59
Quaternary Ammonium Compounds,58
Quinones,58
Neurotransmitter Uptake Inhibitors,58
Oxazoles,58
Plant Extracts,58
Cytochrome P-450 CYP2C9 Inducers,57
Natriuretic Agents,57
Antigens,57
Supplements,57
Opioids,57
Nitrogen Compounds,57
MATE 1 Inhibitors,57
Metal divalent cations,57
Peptide Hydrolases,56
Propanols,56
Adrenergic alpha-Agonists,56
Serotonin Receptor Agonists,56
Hydroxybenzoates,56
Inflammation Mediators,56
Membrane Proteins,55
Cytochrome P-450 CYP1A2 Inducers (strength unknown),55
Hypolipidemic Agents,55
Antiplatelet agents,55
Drugs for Acid Related Disorders,55
Growth Substances,54
Biogenic Amines,54
Dicarboxylic Acids,54
Highest Risk QTc-Prolonging Agents,54
Bronchodilator Agents,54
Cephalosporins,54
Deoxyribonucleosides,54
Standardized Chemical Allergen,54
Eukaryota,54
Radioactive Diagnostic Agent,54
Ethylene Glycols,53
Polyamines,53
Dietary Supplements,53
Purine Nucleosides,53
Autacoids,53
Cytochrome P-450 CYP2B6 Inhibitors (strength unknown),53
Macrolides,53
Embryophyta,53
Streptophyta,53
Viridiplantae,53
Adeno-associated Viral Vector Therapies,53
"Peptides, Cyclic",52
Sugar Alcohols,52
Diterpenes,51
Cytochrome P-450 CYP2A6 Substrates,51
Narcotics,51
UGT1A3 substrates,51
Aminobenzoates,51
Hormonal Contraceptives for Systemic Use,51
Nitro Compounds,51
Tracheophyta,51
Endopeptidases,50
Diagnostic Radiopharmaceuticals,50
Lipid Modifying Agents,50
Cyclooxygenase Inhibitors,50
Cytochrome P-450 CYP2C8 Inducers,50
Anthelmintics,50
Androstenes,50
Angiosperms,50
Blood Coagulation Factors,49
Antidotes,49
BSEP/ABCB11 Inhibitors,49
Cytochrome P-450 CYP2D6 Inhibitors (moderate),49
Antifungals for Dermatological Use,49
Cytochrome P-450 CYP3A5 Inducers (strength unknown),49
Nicotinic Antagonists,49
Selective Immunosuppressants,48
Vitamin B Complex,48
Adenine Nucleotides,48
Vitamins (Fat Soluble),48
Radiation-Sensitizing Agents,48
Agents Acting on the Renin-Angiotensin System,48
Antifungals for Topical Use,48
Indole Alkaloids,48
Organic Anion Transporting Polypeptide 2B1 Inhibitors,48
Minerals,48
Diagnostic Agents,47
Glycoproteins,47
Eicosanoids,47
Oils,47
Catechols,47
Phosphodiesterase Inhibitors,47
Piperazines,47
Neuroprotective Agents,47
Vasoprotectives,47
Fibrin Modulating Agents,46
Cytochrome P-450 CYP2C19 Inhibitors (weak),46
"Amino Acids, Diamino",46
Nasal Preparations,46
Urologicals,46
Quinolones,46
Topoisomerase II Inhibitors,46
Cytochrome P-450 CYP2C9 Inducers (strength unknown),46
Alkylating Drugs,46
Sulfonic Acids,46
Pyrrolidines,46
Antiseptics and Disinfectants,46
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",46
Anti-Allergic Agents,45
Opiate Alkaloids,45
Estranes,45
Alkanes,45
"Toxins, Biological",44
Cardiotoxic antineoplastic agents,44
Cytochrome P-450 CYP2E1 Inhibitors (strength unknown),44
Methemoglobinemia Associated Agents,44
OAT1/SLC22A6 Substrates,44
Organometallic Compounds,44
OCT1 substrates,44
Polyenes,44
UGT1A1 Inhibitors,44
Antiemetics,44
Anti-Parkinson Drugs,44
Xanthine derivatives,44
Testosterone Congeners,44
Inactivated Pneumococcal Vaccine,44
Blood Substitutes and Perfusion Solutions,43
Radiopharmaceutical Activity,43
Cytochrome P-450 CYP3A5 Inhibitors (strength unknown),43
Butyrates,43
"Muscle Relaxants, Centrally Acting Agents",43
Biogenic Monoamines,43
Benzodiazepines and benzodiazepine derivatives,43
Parasympatholytics,43
Anti-Ulcer Agents,43
Cytochrome P-450 CYP2C19 Inducers,43
Isoquinolines,43
Bridged-Ring Compounds,43
Transition Elements,43
Cytochrome P-450 CYP3A4 Inhibitors (moderate),42
"Amino Acids, Basic",42
"Lipid Modifying Agents, Plain",42
Adrenergic beta-Antagonists,42
Serotonin 5-HT2C Receptor Antagonists,42
Pregnenes,42
Phenanthrenes,42
Coloring Agents,42
Drugs for Constipation,42
Biopolymers,42
Glucans,42
Pegylated agents,41
Ethanolamines,41
Cholestanes,41
"Anti-Inflammatory Agents, Non-Steroidal (Non-Selective)",41
Monoamine Oxidase A Inhibitors  for interaction with Monoamine Oxidase A substrates,41
MATE 2 Inhibitors,41
Indolizines,41
Gastric Acid Lowering Agents,41
4-Quinolones,41
Glucocorticoids,41
Progestins,41
GABA Modulators,40
Propanolamines,40
Protein Synthesis Inhibitors,40
Azabicyclo Compounds,40
Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord),40
Cytochrome P-450 CYP3A4 Inhibitors (strong),40
"Contraceptive Agents, Female",40
Sequestering Agents,40
Insecticides,40
Hepatotoxic Agents,39
Neuromuscular Agents,39
Cytochrome P-450 CYP3A7 Inhibitors,39
Indolizidines,39
"Corticosteroids, Dermatological Preparations",39
"Anesthetics, General",39
Cardiotonic Agents,39
Naphthacenes,39
Beta-Lactam Antibacterials,39
Cytochrome P-450 CYP2C8 Inducers (strength unknown),39
Estrenes,39
Oligonucleotides,39
Serine Protease Inhibitors,38
Thyroxine-binding globulin inhibitors,38
Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index,38
Cyclohexenes,38
Central Nervous System Stimulants,38
Oral Hypoglycemics,38
Fluoroquinolones,38
"Antineoplastic Agents, Alkylating",38
Serotonin 5-HT1 Receptor Antagonists,38
"Antibiotics, Antineoplastic",38
Penicillins,38
Monoterpenes,38
Hypothalamic Hormones,37
Protein Precursors,37
Vasoconstrictor Agents,37
Pteridines,37
"Steroids, Fluorinated",37
Coagulants,36
"Amino Acids, Essential",36
OCT2 Substrates,36
"Amino Acids, Branched-Chain",36
Imino Acids,36
Antidepressive Agents Indicated for Depression,36
"Psychostimulants, Agents Used for ADHD and Nootropics",36
Cardiac Stimulants Excl. Cardiac Glycosides,36
Adrenergic beta-2 Receptor Agonists,36
Pregnadienetriols,36
Chelating Agents,36
Nicotinic Acids,36
Pharmaceutic Aids,36
Pancreatic Hormones,35
Stomatological Preparations,35
Antiglaucoma Preparations and Miotics,35
Cytochrome P-450 CYP2C8 Inhibitors (moderate),35
Benzenesulfonamides,35
"X-Ray Contrast Media, Iodinated",35
Surface-Active Agents,35
Pituitary and Hypothalamic Hormones and Analogues,34
Pituitary Hormones,34
"Amino Acids, Sulfur",34
Cholestenes,34
Benzyl Compounds,34
Reverse Transcriptase Inhibitors,34
"Contraceptive Agents, Hormonal",34
Norsteroids,34
Morphinans,34
Mineral Supplements,34
Topical Products for Joint and Muscular Pain,34
Phenyl Ethers,34
Peripheral Vasodilators,34
Inactivated Influenza A Virus Vaccine,34
Endocrine Therapy,33
Bone Density Conservation Agents,33
Oligosaccharides,33
Agents to Treat Airway Disease,33
Phosphorus Compounds,33
Sugar Acids,33
Guanidines,33
Benzylidene Compounds,33
"Anesthetics, Local",33
Norpregnanes,33
MATE substrates,33
Carbamates,33
Oxygen Compounds,33
Monoamine Oxidase Inhibitors,33
Serine Proteases,32
Phosphorus Acids,32
"Amino Acids, Neutral",32
Sterols,32
Antimalarials,32
Adrenergic alpha-2 Receptor Agonists,32
Cytochrome P-450 CYP2C19 Inducers (strength unknown),32
Estrogens,32
Prostaglandins,32
Iron Compounds,32
Fatty Alcohols,32
Expectorants,31
Serine Endopeptidases,31
Anti-Dyskinesia Agents,31
Misc. Skin and Mucous Membrane Agents,31
Sulfhydryl Compounds,31
Drugs for Treatment of Tuberculosis,31
Corticosteroid Hormone Receptor Agonists,31
Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index,31
"Antineoplastic Agents, Phytogenic",31
Aminoglycoside Antibacterials,31
MATE 1 Substrates,31
Phenothiazines,31
Pregnenediones,31
"Hydrocarbons, Fluorinated",31
Herbs and Natural Products,31
"Antineoplastic Agents, Hormonal",30
Throat Preparations,30
Growth Inhibitors,30
"Amino Acids, Acidic",30
Food Additives,30
Food Ingredients,30
Anilides,30
Estradiol Congeners,30
"Contraceptives, Oral",30
Drugs that are Mainly Renally Excreted with a Narrow Therapeutic Index,30
Pyrimidine Nucleotides,30
Androstenols,30
Vasodilators Used in Cardiac Diseases,30
Plant Oils,30
Immune Checkpoint Inhibitors,30
Triterpenes,30
Antianemic Preparations,29
Miscellaneous Therapeutic Agents,29
Thyroid Products,29
Angiogenesis Inhibitors,29
"Amino Acids, Dicarboxylic",29
Carotenoids,29
Cytochrome P-450 CYP2A6 Inhibitors,29
Catecholamines,29
Ammonium Compounds,29
Benzimidazoles,29
"Adrenergics, Inhalants",29
Cytochrome P-450 CYP3A4 Inducers (weak),29
Dopamine Agonists,29
Cytochrome P-450 CYP2C18 Substrates,29
Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use,29
Antitussive Agents,29
Serotonin 5-HT1A Receptor Antagonists,29
Radiopharmaceuticals,29
Angiogenesis Modulating Agents,28
Angiotensin-Converting Enzyme Inhibitors,28
Azole Antifungals,28
Sodium Channel Blockers,28
"Antiinflammatory Preparations, Non-Steroids for Topical Use",28
Chlorine Compounds,28
Radiation-Protective Agents,28
Anti-Acne Preparations,27
Antimycobacterials,27
Amphetamines,27
Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index,27
Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index,27
Combined Inhibitors of Serotonin/Norepinephrine Reuptake,27
UGT1A4 substrates,27
Cytochrome P-450 CYP2C8 Inhibitors (weak),27
Adrenergic alpha-1 Receptor Agonists,27
Adrenergic and Dopaminergic Agents,27
Antimigraine Preparations,27
Serotonin 5-HT1 Receptor Agonists,27
Sulfanilamides,27
Otologicals,27
Iodobenzoates,27
Monosaccharides,27
Organophosphonates,27
Benzamides and benzamide derivatives,27
Porphyrins,27
Antinematodal Agents,27
Propionates,27
Isotopes,27
Sunscreen Agents,27
Grass Pollen Allergen Extracts,27
Gastrointestinal Hormones,26
Phosphoric Acids,26
Trimethyl Ammonium Compounds,26
Hydrogen Sulfide,26
Amino Sugars,26
Phospholipids,26
Anti-Acne Preparations for Topical Use,26
OATP2B1/SLCO2B1 substrates,26
Corticosteroids for Systemic Use,26
Adrenergic Uptake Inhibitors,26
Secologanin Tryptamine Alkaloids,26
"Anti-Infective Agents, Urinary",26
Histone Deacetylase Inhibitors,26
Quinazolines,26
Diamines,26
"Ectoparasiticides, Incl. Scabicides, Insecticides and Repellents",26
Indenes,26
