Category,Drug Count
Salicylic Acid and Derivatives,16
Cytochrome P-450 CYP2A6 Inhibitors (strength unknown),16
Angiotensin Receptor Antagonists,16
Cytochrome P-450 CYP1A2 Inhibitors (moderate),16
Centrally Acting Antiobesity Products,16
Magnetic Resonance Imaging Contrast Media,16
Antianginal Agents,16
Tetracyclines,16
Stilbenes,16
Antipruritics,16
Hexoses,16
Cytotoxic Antibiotics and Related Substances,16
"Anesthetics, Intravenous",16
Histamine H2 Antagonists,16
Heparin and similars,16
Antibiotics for Topical Use,16
Neuromuscular-Blocking Agents (Nondepolarizing),16
Imines,16
"Ectoparasiticides, Incl. Scabicides",16
Free Radical Scavengers,16
Free Radicals,16
Dideoxynucleosides,16
11-Hydroxycorticosteroids,16
Luminescent Agents,16
Household Products,16
Anthracenes,16
Complement Inactivating Agents,16
Carbonic Acid,16
Carbon Radioisotopes,16
Trace Elements,16
Deoxyribonucleotides,16
Pharmaceutical Vehicles,16
Fluorine Radioisotopes,16
Antisense Oligonucleotides,16
COVID-19 Vaccines,16
"Vaccines, Synthetic",16
Interferon Type I,15
Treatments for Hepatitis C,15
Immunoglobulin G,15
Uterotonic agents,15
Antipsoriatics,15
Cholinergic Agonists,15
Purinergic Antagonists,15
Insulin Secretagogues,15
Miscellaneous Anticonvulsants,15
COMT Substrates,15
Calcium Salts,15
Progesterone Congeners,15
Isoindoles,15
"Low-Ceiling Diuretics, Excl. Thiazides",15
Peripheral alpha-1 blockers,15
Coccidiostats,15
Non-statin Hypolipidemic Agents Indicated for Hyperlipidemia,15
Cardanolides,15
Cardiac Glycosides,15
Mutagens,15
Dietary Carbohydrates,15
Sulfuric Acids,15
Fluorescent Dyes,15
Organophosphates,15
Pyrazolones,15
Antidiarrheals,15
DPP-IV Inhibitors,15
Aluminum and magnesium containing antacids,15
Cholic Acids,15
"Phosphatidylinositol 3-Kinases, antagonists & inhibitors",15
Live vaccines,15
Nucleic Acid-Based Vaccines,15
Disease-modifying Antirheumatic Agents,14
Calcium Homeostasis,14
Preparations for Treatment of Wounds and Ulcers,14
Miscellaneous GI Drugs,14
Tumour Detection,14
Cytochrome P-450 CYP2C19 Inhibitors (strong),14
ACE Inhibitors and Calcium Channel Blockers,14
GABA Agonists,14
Centrally Acting Sympathomimetics,14
Cytochrome P-450 CYP2E1 Inducers (strength unknown),14
Drugs Used in Addictive Disorders,14
Solanaceous Alkaloids,14
"Beta Blocking Agents, Selective",14
Antimycotics for Systemic Use,14
Monoamine Oxidase A Substrates,14
Mydriatics,14
HIV Protease Inhibitors,14
Second-Generation Cephalosporins,14
Sodium Chloride Symporter Inhibitors,14
Barbiturates,14
Imidazolidines,14
Vitamin K Antagonists,14
Dihydropyridines,14
Radiographic Contrast Agent,14
X-Ray Contrast Activity,14
Antihistamines for Topical Use,14
"Histamine H1 Antagonists, Non-Sedating",14
Dibenzazepines,14
"Beta Blocking Agents, Non-Selective",14
Antiemetics and Antinauseants,14
"Sympathomimetics, Plain",14
Ophthalmological and Otological Preparations,14
Cytochrome P-450 CYP2D6 Inhibitors (strong),14
Androstanols,14
Starch,14
Thiepins,14
Aldehydes,14
Detergents,14
Excipients,14
Reactive Oxygen Species,14
Polyethylene Glycols,14
Organic Anion Transporting Polypeptide 1B3 Inhibitors,14
Janus Kinase Inhibitor,14
Hormones and Related Agents,13
Anterior Pituitary Lobe Hormones and Analogues,13
Technetium (99Mtc) Compounds,13
Urinary Acidifying Agents,13
"Fatty Acids, Essential",13
Basic Ointments and Protectants,13
Angiotensin II receptor antagonists,13
ACE Inhibitors and Diuretics,13
Arabinonucleosides,13
Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors,13
UGT1A6 substrate,13
Tricarboxylic Acids,13
Cytochrome P-450 CYP2A6 Inducers,13
Sulfonylureas,13
Magnetic Resonance Contrast Activity,13
"Corticosteroids, Moderately Potent (Group II)",13
"Estrogens, Non-Steroidal",13
Beta Blocking Agents and Thiazides,13
Hexanols,13
Nucleoside and Nucleotide Reverse Transcriptase Inhibitors,13
Morphine Derivatives,13
UGT2B7 Inhibitors,13
Medicated Dressings,13
Medicated Dressings With Antiinfectives,13
Abortifacient Agents,13
Nucleoside Reverse Transcriptase Inhibitors,13
Keratolytic Agents,13
Hallucinogens,13
Antiandrogens,13
Endothelin Receptor Antagonists,13
Anabolic Steroids,13
Isobutyrates,13
Trypanocidal Agents,13
Iron Chelating Agents,13
Hydroxyquinolines,13
Arsenicals,13
Plastics,13
"Polyvalent cation containing laxatives, antacids, oral supplements",13
Phosphodiesterase 4 Inhibitors,13
Benzoquinones,13
"Nitric Oxide Synthase, antagonists & inhibitors",13
Lamiales,13
Antisense Elements (Genetics),13
PD-1/PD-L1 (Programmed cell death protein 1/death ligand 1) inhibitors,13
Drug Carriers,12
Passively Acquired Immunity,12
Osmotic Activity,12
Therapeutic Radiopharmaceuticals,12
Excitatory Amino Acids,12
Sulfides,12
Fish Oils,12
Cytochrome P-450 CYP1A2 Inhibitors (strong),12
Cytochrome P-450 CYP2C9 Inhibitors (strong),12
Phosphodiesterase 5 Inhibitors,12
"Antiadrenergic Agents, Centrally Acting",12
Sulfoxides,12
"Antiadrenergic Agents, Peripherally Acting",12
Coordination Complexes,12
Paramagnetic Contrast Media,12
Increased Diuresis,12
Thiazides,12
Intestinal Antiinflammatory Agents,12
Cytochrome P-450 CYP2B6 Substrates with a Narrow Therapeutic Index,12
Cytochrome P-450 CYP2E1 Substrates with a Narrow Therapeutic Index,12
Carcinogens,12
Sulfonamide Antibacterial,12
Roentgenography,12
Miscellaneous Central Nervous System Agents,12
Glycopeptides,12
Valerates,12
Pregnadienediols,12
Tocolytic Agents,12
Agents Against Leishmaniasis and Trypanosomiasis,12
"Agents for Dermatitis, Excluding Corticosteroids",12
Adrenergic beta-1 Receptor Agonists,12
Adrenergic beta-3 Receptor Agonists,12
Cardenolides,12
Miscellaneous Anxiolytics Sedatives and Hypnotics,12
Nucleoside Metabolic Inhibitor,12
First-Generation Cephalosporins,12
Pharmaceutical Solutions,12
Solutions,12
Cytosine Nucleotides,12
Selective Estrogen Receptor Modulators,12
Factor Xa Inhibitors,12
Lanthanoid Series Elements,12
"Metals, Rare Earth",12
Amebicides,12
Anabolic Agents for Systemic Use,12
Fibric Acids,12
Ophthalmic Solutions,12
Organic Nitrates,12
Propiophenones,12
"Watersoluble, Nephrotropic, Low Osmolar X-Ray Contrast Media",12
Bile Therapy,12
Cholagogues and Choleretics,12
Triose Sugar Alcohols,12
Guanine Nucleotides,12
Cinnamates,12
"Preservatives, Pharmaceutical",12
Pentacyclic Triterpenes,12
"Janus Kinases, antagonists & inhibitors",12
Allergens,12
Plant Exudates,12
Inactivated Meningococcal Vaccine,12
Bee and Wasp Venom,12
Biologics for Rheumatoid Arthritis Treatment,11
Immunoglobulin Constant Regions,11
Fertility Agents,11
Serum,11
"Pituitary Hormones, Posterior",11
Detoxifying Agents for Antineoplastic Treatment,11
Proglucagon,11
Bacterial Proteins,11
Ganglion Blockers,11
Enzyme Replacement Therapy,11
Immunoconjugates,11
Immunotoxins,11
Cicatrizants,11
"Fatty Acids, Omega-3",11
Antipsoriatics for Topical Use,11
Glutamates,11
Alanine,11
Chromans,11
Paramagnetic Contrast Agent,11
Ergolines,11
High-risk opioids,11
Cross-Linking Reagents,11
Ethylenediamines,11
Antimuscarinics Antispasmodics,11
Nucleosides and Nucleotides,11
Anti-Dementia Drugs,11
Anthracyclines and Related Substances,11
Imino Sugars,11
COX-2 Inhibitors,11
UGT2B17 substrates,11
Nitroimidazole Derivatives,11
Cytochrome P-450 CYP2B6 Inhibitors (weak),11
Norbornanes,11
Teratogens,11
Isomerism,11
Uracil Nucleotides,11
"Protein Kinase C, antagonists & inhibitors",11
"Fats, Unsaturated",11
Poly(ADP-ribose) Polymerase Inhibitors,11
Pituitary Hormone Release Inhibiting Hormones,11
Antineoplastic cell and gene therapy,11
Cyclopentane Monoterpenes,11
"Antigens, Bacterial",11
Gamma Secretase Inhibitors and Modulators,11
Hydroxides,11
Blood Substitutes,11
Non-Standardized Animal Skin Allergenic Extract,11
Bacterial Vaccines,11
Recombinant influenza vaccines,11
"Fertility Agents, Female",10
Increased Coagulation Activity,10
Antifibrinolytic Agents,10
Albumins,10
Membrane Glycoproteins,10
Neoplasm Proteins,10
Antiviral monoclonal antibodies,10
Picolines,10
Biogenic Polyamines,10
Vitamin E,10
Angiotensin 2 Receptor Blocker,10
"Angiotensin II receptor blockers (ARBs), plain",10
Adrenergic beta-1 Receptor Antagonists,10
Cytochrome P-450 CYP3A5 Inhibitors (weak),10
Triazoles,10
Drugs Used in Erectile Dysfunction,10
Benzofurans,10
Propylamines,10
Quinolone Antimicrobial,10
Cytochrome P-450 CYP3A5 Inhibitors (strong),10
Viral Protease Inhibitors,10
"Anesthetics, Inhalation",10
Benzothiadiazines,10
Aminopyridines,10
Cytochrome P-450 CYP3A7 Inducers,10
Hydantoins,10
UGT1A1 Substrates with a Narrow Therapeutic Index,10
"Antibiotics, Antitubercular",10
Nitroso Compounds,10
"Watersoluble, Nephrotropic, High Osmolar X-Ray Contrast Media",10
Antipruritics and Local Anesthetics,10
Natural Opium Alkaloids,10
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,10
Cyclohexanecarboxylic Acids,10
Azirines,10
Cytochrome P-450 CYP3A4 Inducers (moderate),10
Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,10
Opium Alkaloids and Derivatives,10
Pyrimidine Analogues,10
COMT Inhibitors,10
Tertiary Amines,10
Benzhydryl Compounds,10
Dibenzocycloheptenes,10
Drugs Used in Benign Prostatic Hypertrophy,10
Epinephrine and similars,10
"Synthetic Anticholinergics, Esters With Tertiary Amino Group",10
Mydriatics and Cycloplegics,10
Heparin (Low Molecular Weight),10
Phenothiazines With Piperazine Structure,10
Uricosuric Agents,10
beta Lactam Antibiotics,10
Butyrophenone Derivatives,10
Spiro Compounds,10
Propulsives,10
Ionophores,10
Sulfates,10
Long-Acting Antibacterial Sulfonamides,10
Dental Agents,10
Tryptamines,10
Chlorides,10
beta-Lactamase Inhibitors,10
Parenteral Iron Replacement,10
Schistosomicides,10
"Hydrocarbons, Iodinated",10
Thioesters of coenzyme A,10
Bicyclic Monoterpenes,10
"Aldehyde Reductase, antagonists & inhibitors",10
Peroxides,10
Transferases,10
Saponins,10
Molecular Probes,10
Scleroproteins,10
"RNA, Antisense",10
Enzyme Activators,10
PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,10
Inactivated Influenza B Virus Vaccine,10
Insecticides and Repellents,10
Gonadotropins,9
Plasminogen Activators,9
Somatropin and Somatropin Agonists,9
Gonadotropins and Antigonadotropins,9
Pore Forming Cytotoxic Proteins,9
Lymphokines,9
Metalloproteases,9
Decreased Platelet Aggregation,9
Lipopeptides,9
HIV Fusion Inhibitors,9
Specific Immunoglobulins,9
Antineovascularisation Agents,9
Ocular Vascular Disorder Agents,9
Folic Acid and Derivatives,9
Liver Therapy,9
"Liver Therapy, Lipotropics",9
Cysteine,9
Naphthoquinones,9
Hydroxymethylglutaryl-CoA Reductase Inhibitors,9
Angiotensin II receptor blockers (ARBs) and calcium channel blockers,9
Angiotensin II receptor blockers (ARBs) and diuretics,9
Angiotensin II Type 1 Receptor Blockers,9
Central Nervous System Stimulation,9
Appetite Depressants,9
Cyclohexanols,9
14-alpha Demethylase Inhibitors,9
"Antiarrhythmics, Class III",9
Diphenylacetic Acids,9
Proton Pump Inhibitors,9
Phosphodiesterase 3 Inhibitors,9
Ergot-derivative Dopamine Receptor Agonists,9
"Contraceptive Agents, Male",9
Drugs for Treatment of Hyperkalemia and Hyperphosphatemia,9
Phosphate Binder,9
Iodinated Contrast Agents,9
Acridines,9
"Antiarrhythmics, Class Ia",9
Local Anesthesia,9
Bisphosphonates,9
Aminoalkyl Ethers,9
Norepinephrine Uptake Inhibitors,9
Nitrogen Mustard Analogues,9
Vinca Alkaloids,9
Low-Ceiling Diuretics and Potassium-Sparing Agents,9
Biguanides,9
Pregnadien Derivatives,9
Aromatase Inhibitors,9
Serotonin 5-HT3 Receptor Antagonists,9
Phenothiazine Derivatives,9
Nasal Decongestants,9
Sympathomimetic (Adrenergic) Agents,9
Antithyroid agents,9
"Abortifacient Agents, Nonsteroidal",9
Deoxycytidine,9
Glucosides,9
Nitrobenzenes,9
Alkanesulfonates,9
Antivaricose Therapy,9
Stimulants,9
Phthalic Acids,9
Quinoxalines,9
Phosphoramides,9
Phenylpropionates,9
Androstan Derivatives,9
Pyridones,9
Hydrocortisone and derivatives,9
Chlorobenzenes,9
Organothiophosphorus Compounds,9
ortho-Aminobenzoates,9
Long-acting beta-adrenoceptor agonists,9
BSEP/ABCB11 inducers,9
Norpregnatrienes,9
Calcium Compounds,9
Microtubule Inhibitors,9
Taxoids,9
Incretins,9
Antacids and Adsorbents,9
"Elements, Radioactive",9
"Metals, Alkaline Earth",9
Sodium Compounds,9
Ligands,9
"Cyclin-Dependent Kinases, antagonists & inhibitors",9
Iodine Compounds,9
"Watersoluble, Hepatotropic X-Ray Contrast Media",9
Contact Laxatives,9
"HSP90 Heat-Shock Proteins, antagonists & inhibitors",9
Nucleic Acid Probes,9
"Receptors, Peptide",9
Extracellular Matrix Proteins,9
"RNA, Small Untranslated",9
"RNA, Untranslated",9
Sodium-Glucose Transporter 2 Inhibitors,9
Bispecific Monoclonal Antibodies,9
Positron Emitting Activity,9
Dental Materials,9
Organosilicon Compounds,9
Standardized Pollen Allergenic Extract,9
Non-Standardized Insect Allergenic Extract,9
Standardized Insect Venom Allergenic Extract,9
"Antibodies, Neutralizing",9
Asteraceae,9
"Iron Bivalent, Oral Preparations",9
mRNA Vaccines,9
Gonadotropin-releasing hormone agonist,8
Cytochrome P-450 CYP2C9 Inducers (weak),8
Metalloendopeptidases,8
Oxidoreductases,8
Growth Hormone,8
Immunoglobulin Fab Fragments,8
CD20-directed Antibody Interactions,8
BSEP/ABCB11 Substrates with a Narrow Therapeutic Index,8
Fluids and Secretions,8
Phytol,8
Lipoxygenase Inhibitors,8
Muscarinic Agonists,8
Beta-Blockers (Beta1 Selective),8
Thiazolidinediones,8
OCT2 Substrates with a Narrow Therapeutic Index,8
Potassium Channel Blockers,8
Antibiotics for Pneumocystis Pneumonia,8
Cytochrome P-450 CYP2B6 Inhibitors (moderate),8
Cytochrome P-450 CYP2B6 Inhibitors (strong),8
Cytochrome P-450 CYP2C19 Inhibitors (moderate),8
2-Pyridinylmethylsulfinylbenzimidazoles,8
High-Ceiling Diuretics,8
Non Potassium Sparing Diuretics,8
Guanidine Derivatives,8
Cytochrome P-450 CYP3A7 Inhibitors (strong),8
Non-Nucleoside Reverse Transcriptase Inhibitors,8
Serotonin 5-HT1D Receptor Antagonists,8
Antifungal Agents (Vaginal),8
Cytochrome P-450 CYP2A6 Substrates with a Narrow Therapeutic Index,8
"Contraceptives, Postcoital",8
Short-Acting Antibacterial Sulfonamides,8
Nitrosoureas,8
Anti-Parkinson Agents (Dopamine Agonist),8
Calcium Channel Blockers (Dihydropyridine),8
Tetrazoles,8
Aminoacridines,8
Purinergic P1 Receptor Antagonists,8
Local Anesthetics (Amide),8
Neuraxial Anesthetics,8
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,8
Carbonic Anhydrase Inhibitors,8
Ergotamines,8
Tricyclics and Other Norepinephrine-reuptake Inhibitors,8
"Arteriolar Smooth Muscle, Agents Acting On",8
Piperazine Derivatives,8
"Antidepressive Agents, Tetracyclic",8
Digitalis Glycosides,8
Microtubule Inhibition,8
Hypnotics (Nonbenzodiazepine),8
Miotics,8
Parasympathomemetic (Cholinergic) Agents,8
Beta-Lactamase Sensitive Penicillins,8
Adjuvants,8
"Belladonna and Derivatives, Plain",8
Sclerosing Solutions,8
Convulsants,8
Cannabinoid Receptor Agonists,8
Estrogen Receptor Modulators,8
Triazines,8
Chemically-Induced Disorders,8
Cytochrome P-450 CYP2B6 Inducers (weak),8
Gadolinium-based Contrast Agent,8
Nicotinic Acid and Derivatives,8
Neurokinin-1 Receptor Antagonists,8
"Antiarrhythmics, Class Ic",8
"Antiallergic Agents, Excl. Corticosteroids",8
Estren Derivatives,8
Topoisomerase I Inhibitors,8
Organothiophosphates,8
Hydroxybenzoate Ethers,8
Specific Antirheumatic Agents,8
Nitroimidazoles,8
Benzylammonium Compounds,8
GLP-1 Agonists,8
Capillary Stabilizing Agents,8
Flavonols,8
Cellulose,8
Cariostatic Agents,8
Fluorine Compounds,8
Hexosephosphates,8
Metalloporphyrins,8
Herbicides,8
Buffers,8
"Fungicides, Industrial",8
Glycolipids,8
Calcitonin Gene-Related Peptide Receptor Antagonists,8
Genetic Therapy,8
Iodine Radioisotopes,8
Lamiaceae,8
Marine Toxins,8
Glucagon-Like Peptides,8
Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors,8
Central Nervous System,8
Programmed Death Receptor-1 Blocking Antibody,8
Plasma Substitutes,8
Oxidants,8
Calcitonin Gene-Related Peptide (CGRP) Antagonists,8
Antivenins,8
Serpins,7
Recombinant Fusion Proteins,7
Alfa Interferons,7
"Insulin, Short-Acting",7
Posterior Pituitary Lobe Hormones,7
Vasopressin and Analogues,7
Vasopressins,7
Neurotoxins,7
Anti-Gonadotropin-Releasing Hormones,7
Delayed-Action Preparations,7
HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,7
"Digestives, Incl. Enzymes",7
NTCP Inhibitors,7
Amino Acids and Derivatives,7
Vitamin C and analogues,7
Anti-Parathyroid Agents,7
Vitamin A,7
Dipeptides,7
Vitamin K,7
Increased Sympathetic Activity,7
Antiinfectives for Treatment of Acne,7
Sodium Potassium Chloride Symporter Inhibitors,7
Selective Serotonin 5-HT1 Receptor Agonists,7
Selective Serotonin Agonists,7
Serotonin 1b Receptor Agonists,7
Serotonin 1d Receptor Agonists,7
Serotonin-1b and Serotonin-1d Receptor Agonist,7
Triptans,7
Leprostatic Agents,7
Enzyme Inducing Antiepileptic Drugs,7
UGT1A9 Substrates with a Narrow Therapeutic Index,7
Estrogen Contraceptives,7
Uncoupling Agents,7
Nonergot-derivative Dopamine Receptor Agonists,7
"Natural and Semisynthetic Estrogens, Plain",7
Anesthetics for Topical Use,7
Serotonin and Noradrenaline Reuptake Inhibitors,7
"Prostaglandins F, Synthetic",7
Folic Acid Analogues,7
Carbapenems,7
Phthalimides,7
UGT2B7 Substrates with a Narrow Therapeutic Index,7
Tertiary amine tricyclic antidepressants,7
Nitric Oxide Donors,7
Vasodilation,7
Semi-synthetic Opioids,7
Belladonna Alkaloids,7
"Diazepines, Oxazepines, Thiazepines and Oxepines",7
Nitrofurans,7
GABA-A Receptor Agonists,7
Piperidones,7
Aminoquinolines,7
Alpha-and Beta-adrenergic Agonists,7
Adrenergic alpha-2 Receptor Antagonists,7
Quinuclidines,7
Sympathomimetics Used as Decongestants,7
Corticosteroids Acting Locally,7
Progesterone and Derivatives,7
Tetrahydroisoquinolines,7
Imino Pyranoses,7
Phenothiazines With Aliphatic Side-Chain,7
Butyrophenones,7
Isonipecotic Acids,7
Phenylpiperidine opioids,7
Androgen Receptor Inhibitors,7
Silicates,7
Antihelminthic,7
Phosphoramide Mustards,7
Organomercury Compounds,7
Fluorouracil and prodrugs,7
Ultrasound Contrast Media,7
Central alpha-2 Adrenergic Agonist,7
Androstadienes,7
Chlorobenzoates,7
Mixed Agonist / Antagonist Opioids,7
Cytochrome P-450 CYP2C8 Inducers (weak),7
Biphenyl Compounds,7
Decreased Histamine Release,7
Mast Cell Stabilizers,7
Heavy Metal Antagonists,7
Prostaglandins E,7
Fenamates,7
Antimicrobial Peptides,7
Artificial Tears,7
Thioxanthenes,7
Irritants,7
Antitrematodals,7
Flavones,7
Glucagon-like peptide-1 (GLP-1) analogues,7
Drug Delivery Systems,7
Acetanilides,7
"Metals, Light",7
Carbonates,7
Insect Repellents,7
Enemas,7
Maleates,7
N-substituted Glycines,7
Vanadates,7
Matrix Metalloproteinase Inhibitors,7
"Antigens, Neoplasm",7
Biomarkers,7
Cysteine Proteinase Inhibitors,7
Dextrins,7
Sphingolipids,7
Quinolizines,7
"Drug Resistance, Multiple",7
Pulmonary Surfactants,7
Hemeproteins,7
"Antigens, Surface",7
HCV NS3/4A Protease Inhibitors,7
NS3/4A Protease Inhibitors,7
Poly (ADP-ribose) polymerase (PARP) inhibitors,7
Nanostructures,7
Diterpene Alkaloids,7
Janus Kinase Inhibitors,7
Noble Gases,7
Bulk-Forming Laxatives,7
Non-Standardized Animal Hair Allergenic Extract,7
Glycerides,7
"Amyloid Precursor Protein Secretases, antagonists & inhibitors",7
Live Attenuated Influenza A Virus Vaccine,7
Approved Treatments for COVID-19,7
Cellular and Gene Therapy,7
Thrombin Inhibitors,6
Tumor necrosis factor alpha (TNF-alpha) inhibitors,6
Interferon alpha,6
Tests for Pituitary Function,6
Granulocyte Colony-Stimulating Factors,6
Amidohydrolases,6
Agents used to treat hypothyroidism,6
Human Immunoglobulin G,6
"Insulins and Analogues for Injection, Fast-Acting",6
"Gonadotropins, Pituitary",6
Insulin Analog,6
"Insulin, Long-Acting",6
Gonadotropin Releasing Hormone Receptor Antagonists,6
Indium Radioisotopes,6
Blood and Related Products,6
Blood Substitutes and Plasma Protein Fractions,6
Iodine (131I) Compounds,6
Carboxylic Ester Hydrolases,6
Somatostatin and Analogues,6
Viral Fusion Protein Inhibitors,6
Arginine,6
Succinates,6
Flavins,6
Retinoids for Topical Use in Acne,6
Cytochrome P-450 CYP2A6 Inhibitors (weak),6
Tests for Gastric Secretion,6
Nicotinic Agonists,6
Cholinergic Receptor Agonist,6
Appetite Suppression,6
Triazole and tetrazole derivatives,6
Triazole Derivatives,6
UGT1A6 Inhibitors,6
Erythromycin and similars,6
Purinergic P2 Receptor Antagonists,6
Proton-pump Inhibitors,6
Ototoxic agents,6
Fluoroquinolone Antibacterial,6
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,6
Nonnucleoside Reverse Transcriptase Inhibitors,6
Purine Analogues,6
Prolactine Inhibitors,6
Deoxyuridine,6
Nucleoside Analog Antiviral,6
Cytochrome P-450 CYP2C18 Substrates with a Narrow Therapeutic Index,6
Cytochrome P-450 CYP2C19 Inducers (moderate),6
Isoxazoles,6
Nitrosourea Compounds,6
Beta blocking agents and calcium channel blockers,6
"Beta Blocking Agents, Selective, and Thiazides",6
Intercalating Agents,6
Xanthines and Adrenergics,6
Beta-Lactamase Resistant Penicillins,6
Tetrahydronaphthalenes,6
Benzothiazoles,6
Antimanic Agents,6
Mood Stabilizer,6
OAT3/SLC22A8 Substrates with a Narrow Therapeutic Index,6
Pentanoic Acids,6
Drugs Used in Opioid Dependence,6
UGT1A4 Inhibitors,6
Centrally-mediated Muscle Relaxation,6
Thioglycosides,6
"Beta Blocking Agents, Non-Selective, and Thiazides",6
Potassium-Sparing Diuretics,6
Phenylurea Compounds,6
Decreased Blood Pressure,6
Substituted Alkylamines,6
Mineralocorticoid Receptor Antagonists,6
Phenylcarbamates,6
"Sleep Aids, Pharmaceutical",6
Leukotriene Antagonists,6
Estrogen Agonist/Antagonist,6
Indans,6
"Antiandrogens, non-steroidal",6
Benzimidazole Derivatives,6
Thiocarbamates,6
Photosensitizing Agents for Phototherapy,6
Antihypertensives for Pulmonary Arterial Hypertension,6
Arylpropionic acid NSAIDS,6
Imidazolines,6
Isonicotinic Acids,6
Rifamycins,6
Bcr-Abl Tyrosine Kinase Inhibitors,6
Cytochrome P-450 CYP3A5 Inducers (moderate),6
Local Hemostatics,6
Diagnostic Dye,6
Sensitizers Used in Photodynamic/radiation Therapy,6
Opioid Anesthetics,6
Local Anesthetics (Ester),6
Interferon Inducers,6
"Belladonna Alkaloids, Semisynthetic, Quaternary Ammonium Compounds",6
Allyl Compounds,6
Hydroxamic Acids,6
"Monoamine Oxidase Inhibitors, Non-Selective",6
Phenol and Derivatives,6
Butanes,6
Substituted Ethylene Diamines,6
Antipropulsives,6
Miscellaneous Anti-infectives,6
Poisons,6
Carbazoles,6
MATE 1 Substrates with a Narrow Therapeutic Index,6
Cresols,6
"Acids, Aldehydic",6
Incretin Mimetics,6
Melanocortins,6
Pro-Opiomelanocortin,6
Bismuth containing drugs,6
Rosanae,6
Increased Large Intestinal Motility,6
Lithium Compounds,6
Streptogramins,6
Ginseng & Ginseng Extracts,6
Illicit Drugs,6
Street Drugs,6
Prostaglandin Antagonists,6
Phytoestrogens,6
Citrates,6
Mycotoxins,6
"Oils, Volatile",6
Polyphosphates,6
Deoxy Sugars,6
Alkynes,6
Cyclodextrins,6
Quinoline Derivatives,6
Mercurial Products,6
Antifoaming Agents,6
Glycosphingolipids,6
Natriuretic Peptides,6
Phosphotransferases,6
Globins,6
Immunoglobulin Variable Region,6
Adenosine A receptor agonists,6
Cannabinoid Receptor Antagonists,6
"Receptor, Cannabinoid, CB1, antagonists & inhibitors",6
Radioactive Therapeutic Agent,6
Drugs Used in Hereditary Angioedema,6
"Resins, Synthetic",6
"Animal Proteins, Dietary",6
Carrier Proteins,6
Dietary Proteins,6
Mollusk Venoms,6
Lyases,6
Intracellular Signaling Peptides and Proteins,6
Panax,6
Cysteine Proteases,6
Gallium Radioisotopes,6
Biocompatible Materials,6
Cyclohexane Monoterpenes,6
Hepatitis C Virus NS5A Inhibitor,6
Phosphatidylinositol-3-kinase (Pi3K) inhibitors,6
MATE 2-K Inhibitors,6
"Iron Trivalent, Oral Preparations",6
Histamine H3 Antagonists,6
Autologous Cultured Cell,6
Metalloids,6
"Alzheimer Disease, drug therapy",6
Venom Neutralization,6
Antithrombin Proteins,5
Deoxyribonucleases,5
Gonadotropin Releasing Hormone Receptor Agonist,5
Gonadotropin Releasing Hormone Receptor Agonists,5
Growth Hormone-Releasing Hormone,5
Erythropoiesis-Stimulating Agents,5
Calcitonin Preparations,5
Parathyroid Hormones and Analogues,5
Interferon-alpha,5
Leukocyte Growth Factor,5
Human Antihemophilic Factors,5
Fibroblast Growth Factors,5
Decreased GnRH Secretion,5
Gonadotropin-releasing Hormone Antagonists,5
Gaucher Disease,5
Trypsin Inhibitors,5
HER2 Receptor Antagonists,5
CD20-directed Cytolytic Antibody,5
CD3-directed Antibody Interactions,5
"Antigens, CD20",5
Immune Sera,5
Corrinoids,5
Vitamin B12 and Folic Acid,5
Miscellaneous Antidepressants,5
Caloric Agents,5
Analogs/Derivatives,5
Cytochrome P-450 CYP3A7 Inhibitors (moderate),5
Angiotensin II Type 2 Receptor Blockers,5
Proteasome Inhibitors,5
Neuraminidase Inhibitors,5
Cytochrome P-450 CYP3A5 Inhibitors (moderate),5
Purinergic P2Y Receptor Antagonists,5
Cytochrome P-450 CYP2B6 Inducers (strong),5
Inducers of Drug Clearance,5
Indole Derivatives,5
Stilbestrols,5
Cytochrome P-450 CYP2A6 Inhibitors (strong),5
Oxazolidinones,5
Scabicides and Pediculicides,5
4-Hydroxycoumarins,5
Ketoses,5
Glycoside Hydrolase Inhibitors,5
BCRP/ABCG2 Inducers,5
Prostaglandin analogs reducing intraocular pressure (IOP),5
Cytoprotective Agent,5
Penem Antibacterial,5
Fatty Acid Derivatives,5
Miscellaneous Analgesics and Antipyretics,5
Nitrates and Nitrites,5
Diphenylpropylamine Derivatives,5
Nitrofuran Derivatives,5
Tests for Renal Function and Ureteral Injuries,5
Potassium Channel Opener,5
Echinocandin Antifungal,5
GABA Antagonists,5
Antiemetic Serotonin 5-HT3 Receptor Antagonists,5
Serotonin 3 Receptor Antagonists,5
Anthracycline Topoisomerase Inhibitor,5
"Steroids, Chlorinated",5
Carbamic Acid Esters,5
Triazolobenzodiazepines,5
Cytidine Deaminase Substrates,5
