Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
Lepirudin,DB00001,biotech,approved; withdrawn,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombin Proteins; Antithrombins; Blood and Blood Forming Organs",Yes,,,Intravenous,DrugBank text extraction,653,1,Yes,Yes,Yes,Yes,Yes
Cetuximab,DB00002,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents",Yes,,,,OpenFDA,411,0,Yes,Yes,Yes,Yes,Yes
Dornase alfa,DB00003,biotech,approved,"Amino Acids, Peptides, and Proteins; Cough and Cold Preparations; Decreased Respiratory Secretion Viscosity; Deoxyribonucleases; Endodeoxyribonucleases",Yes,Once daily,1,,OpenFDA,0,0,Yes,Yes,Yes,Yes,No
Denileukin diftitox,DB00004,biotech,approved; investigational,"ADP Ribose Transferases; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Bacterial Toxins",Yes,,,,OpenFDA,38,0,Yes,Yes,Yes,Yes,Yes
Etanercept,DB00005,biotech,approved; investigational,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antirheumatic Agents",Yes,,,,OpenFDA,1028,0,Yes,Yes,Yes,Yes,Yes
Bivalirudin,DB00006,small molecule,approved; investigational,"Amino Acids, Peptides, and Proteins; Anticoagulants; Antithrombins; Blood and Blood Forming Organs; Enzyme Inhibitors",Yes,,,,OpenFDA,640,2,Yes,Yes,Yes,Yes,Yes
Leuprolide,DB00007,biotech,approved; investigational,"Adrenal Cortex Hormones; Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal",Yes,,,,OpenFDA,1194,0,Yes,Yes,Yes,Yes,Yes
Peginterferon alfa-2a,DB00008,biotech,approved; investigational,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents",Yes,,,,OpenFDA,739,1,Yes,Yes,Yes,No,Yes
Alteplase,DB00009,biotech,approved; investigational,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins",Yes,,,,OpenFDA,705,1,Yes,Yes,Yes,Yes,Yes
Sermorelin,DB00010,biotech,approved; withdrawn,"Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Diagnostic Agents; Growth Hormone-Releasing Hormone; Hormones",Yes,,,Intravenous,DrugBank text extraction,0,0,Yes,Yes,No,No,Yes
Interferon alfa-n1,DB00011,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antiviral Agents; Biological Factors",Yes,,,Subcutaneous; Intramuscular; Subcutaneous,DrugBank text extraction,655,1,Yes,Yes,No,No,Yes
Darbepoetin alfa,DB00012,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Blood and Blood Forming Organs; Carbohydrates; Colony-Stimulating Factors",Yes,,,,OpenFDA,585,1,Yes,Yes,No,No,No
Urokinase,DB00013,biotech,approved; investigational; withdrawn,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,Intravenous bolus; Intravenous drip; Intravitreal; Intravenous; Parenteral; Intra-arterial; Intravenous,DrugBank text extraction,703,1,Yes,Yes,Yes,Yes,Yes
Goserelin,DB00014,small molecule,approved,"Adrenal Cortex Hormones; Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal; Antineoplastic and Immunomodulating Agents",Yes,,,,OpenFDA,1134,0,Yes,Yes,Yes,Yes,Yes
Reteplase,DB00015,biotech,approved; investigational,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,Intravenous,DrugBank text extraction,704,1,Yes,Yes,No,No,No
Erythropoietin,DB00016,biotech,approved,"Amino Acids, Peptides, and Proteins; Antianemic Preparations; Biological Factors; Blood and Blood Forming Organs; Carbohydrates",Yes,,,,OpenFDA,612,1,Yes,Yes,Yes,Yes,Yes
Salmon calcitonin,DB00017,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Bone Density Conservation Agents; Bone Density, drug effects; Calcitonin Preparations; Calcium Homeostasis",Yes,,,Intramuscular; Intravenous; Subcutaneous; Not applicable; Intramuscular; Intramuscular; Subcutaneous; Nasal; Parenteral,DrugBank text extraction,921,2,Yes,Yes,Yes,Yes,Yes
Interferon alfa-n3,DB00018,biotech,approved; investigational,"Alfa Interferons; Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown)",Yes,,,Subcutaneous,DrugBank text extraction,658,0,Yes,Yes,No,No,No
Pegfilgrastim,DB00019,biotech,approved,"Adjuvants, Immunologic; Alcohols; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors",Yes,,,,OpenFDA,45,0,Yes,Yes,Yes,Yes,Yes
Sargramostim,DB00020,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Carbohydrates",Yes,Once daily,1,,OpenFDA,9,0,Yes,Yes,No,No,No
Peginterferon alfa-2b,DB00022,biotech,approved,"Adjuvants, Immunologic; Alcohols; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents",Yes,,,Subcutaneous; Oral; Subcutaneous,DrugBank text extraction,970,1,Yes,Yes,Yes,No,Yes
Asparaginase Escherichia coli,DB00023,biotech,approved; investigational,Amidohydrolases; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Asparaginase; Asparagine-specific Enzyme,Yes,,,Intramuscular; Intramuscular; Intravenous; Intravenous; Parenteral; Intramuscular; Intrathecal; Intravenous,DrugBank text extraction,59,0,Yes,Yes,Yes,No,Yes
Thyrotropin alfa,DB00024,biotech,approved; vet_approved,"Agents used to treat hypothyroidism; Anterior Pituitary Lobe Hormones and Analogues; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Peptide Hormones",Yes,,,,OpenFDA,487,0,Yes,Yes,Yes,No,Yes
"Antihemophilic factor, human recombinant",DB00025,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factors; Blood Proteins",Yes,,,Intravenous; Parenteral; Intravenous; Parenteral,DrugBank text extraction,92,0,Yes,Yes,No,No,Yes
Anakinra,DB00026,biotech,approved; investigational,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Antirheumatic Agents; Biological Factors",Yes,Once daily,1,,OpenFDA,1028,0,Yes,Yes,Yes,Yes,Yes
Gramicidin D,DB00027,small molecule,approved,"Amino Acids, Peptides, and Proteins; Anti-Bacterial Agents; Anti-Infective Agents; Anti-Infective Agents, Local; Membrane Proteins",Yes,,,Auricular (otic); Auricular (otic); Ophthalmic; Topical; Nasal; Ophthalmic; Oral,DrugBank text extraction,55,0,Yes,Yes,No,No,No
Human immunoglobulin G,DB00028,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antigen Neutralization; Blood Proteins; Globulins",Yes,,,,OpenFDA,373,0,Yes,Yes,No,No,Yes
Anistreplase,DB00029,biotech,approved,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins",Yes,,,Intravenous,DrugBank text extraction,703,1,Yes,Yes,No,No,No
Insulin human,DB00030,biotech,approved; investigational,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown)",Yes,,,,OpenFDA,791,1,Yes,Yes,Yes,Yes,Yes
Tenecteplase,DB00031,biotech,approved,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,,OpenFDA,704,1,Yes,Yes,No,No,Yes
Menotropins,DB00032,biotech,approved,"Amino Acids, Peptides, and Proteins; Biological Products; Complex Mixtures; Fertility Agents; Fertility Agents, Female",Yes,,,,OpenFDA,0,0,Yes,Yes,No,No,No
Interferon gamma-1b,DB00033,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors",Yes,,,,OpenFDA,655,1,Yes,Yes,No,No,No
Interferon alfa-2a,DB00034,biotech,approved; investigational,"Adjuvants, Immunologic; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic Agents",Yes,,,Intramuscular; Parenteral; Subcutaneous; Subcutaneous; Parenteral; Subcutaneous; Intramuscular; Subcutaneous,DrugBank text extraction,689,1,Yes,Yes,Yes,No,Yes
Desmopressin,DB00035,small molecule,approved,"Agents that produce hypertension; Amino Acids, Peptides, and Proteins; Antidiuretic Agents; Arginine Vasopressin; Cardiovascular Agents",Yes,,,,OpenFDA,1132,0,Yes,Yes,Yes,Yes,Yes
Coagulation factor VIIa Recombinant Human,DB00036,biotech,approved,"Amino Acids, Peptides, and Proteins; Biological Factors; Blood and Blood Forming Organs; Blood Coagulation Factors; Blood Proteins",Yes,Every 3 hours,8,,OpenFDA,93,0,Yes,Yes,No,No,No
Oprelvekin,DB00038,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Cytokines",Yes,,,Subcutaneous,DrugBank text extraction,0,0,Yes,Yes,Yes,No,Yes
Palifermin,DB00039,biotech,approved,"Amino Acids, Peptides, and Proteins; Biological Factors; Detoxifying Agents for Antineoplastic Treatment; Fibroblast Growth Factors; Increased Epithelial Proliferation",Yes,,,,OpenFDA,131,0,Yes,Yes,No,No,Yes
Glucagon,DB00040,biotech,approved,"Amino Acids, Peptides, and Proteins; Antihypoglycemic Agent; Decreased GI Motility; Decreased GI Smooth Muscle Tone; Decreased Glycolysis",Yes,,,,OpenFDA,188,0,Yes,Yes,Yes,Yes,Yes
Aldesleukin,DB00041,biotech,approved,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Anti-HIV Agents; Anti-Infective Agents; Antineoplastic Agents",Yes,Twice daily,2,,OpenFDA,1501,0,Yes,Yes,No,No,Yes
Botulinum toxin type B,DB00042,biotech,approved; investigational,"Acetylcholine Release Inhibitors; Agents that produce neuromuscular block (indirect); Amino Acids, Peptides, and Proteins; Amphibian Venoms; Anti-Dyskinesia Agents",Yes,,,Intramuscular,DrugBank text extraction,819,0,Yes,Yes,Yes,No,No
Omalizumab,DB00043,biotech,approved; investigational,"Agents to Treat Airway Disease; Amino Acids, Peptides, and Proteins; Anti-Allergic Agents; Anti-Asthmatic Agents; Anti-IgE",Yes,,,,OpenFDA,374,0,Yes,Yes,Yes,Yes,Yes
Lutropin alfa,DB00044,biotech,approved,Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins; Sex Hormones and Modulators of the Genital System,Yes,,,Subcutaneous; Parenteral; Subcutaneous; Parenteral,DrugBank text extraction,0,0,Yes,Yes,Yes,Yes,Yes
Lyme disease vaccine (recombinant OspA),DB00045,biotech,approved; withdrawn,,No,,,,,0,0,Yes,Yes,No,No,Yes
Insulin lispro,DB00046,biotech,approved,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown)",Yes,,,,OpenFDA,791,0,Yes,Yes,Yes,Yes,Yes
Insulin glargine,DB00047,biotech,approved,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Antimetabolites; Biological Products; Blood Glucose Lowering Agents",Yes,Once daily,1,,OpenFDA,790,0,Yes,Yes,Yes,Yes,No
Collagenase clostridium histolyticum,DB00048,biotech,approved; investigational,Collagen-specific Enzyme; Collagenases; Dermatologicals; Endopeptidases; Enzymes,Yes,Three times daily,3,,OpenFDA,101,0,Yes,Yes,Yes,Yes,No
Rasburicase,DB00049,biotech,approved; investigational,Antigout Preparations; Detoxifying Agents for Antineoplastic Treatment; Enzymes; Enzymes and Coenzymes; Methemoglobinemia Associated Agents,Yes,,,,OpenFDA,53,0,Yes,Yes,No,No,Yes
Cetrorelix,DB00050,small molecule,approved; investigational,"Amino Acids, Peptides, and Proteins; Anti-Gonadotropin-Releasing Hormones; Decreased GnRH Secretion; Fertility Agents; Fertility Agents, Female",Yes,Once daily,1,,OpenFDA,0,0,Yes,Yes,Yes,Yes,Yes
Adalimumab,DB00051,biotech,approved; experimental,"Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies; Antibodies, Monoclonal",Yes,,,,OpenFDA,1344,0,Yes,Yes,Yes,No,Yes
Somatotropin,DB00052,biotech,approved; investigational,"Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown)",Yes,,,Subcutaneous; Parenteral; Subcutaneous; Parenteral; Intramuscular; Subcutaneous,DrugBank text extraction,421,0,Yes,Yes,Yes,Yes,Yes
Imiglucerase,DB00053,biotech,approved,Alimentary Tract and Metabolism; Enzyme Replacement Therapy; Enzymes; Enzymes and Coenzymes; Gaucher Disease,Yes,,,,OpenFDA,0,0,Yes,Yes,No,No,Yes
Abciximab,DB00054,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Anticoagulants",Yes,,,Intravenous; Parenteral,DrugBank text extraction,978,1,Yes,Yes,No,Yes,Yes
Drotrecogin alfa,DB00055,biotech,approved; investigational; withdrawn,"Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Anticoagulants; Biological Factors; Blood and Blood Forming Organs",Yes,,,Intravenous; Parenteral,DrugBank text extraction,641,1,Yes,Yes,No,No,Yes
Gemtuzumab ozogamicin,DB00056,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antibody-drug Conjugates",Yes,Every 4 hours,6,,OpenFDA,842,0,Yes,Yes,Yes,Yes,Yes
Indium In-111 satumomab pendetide,DB00057,biotech,experimental; withdrawn,"Acetates; Acids, Acyclic; Amines; Amino Acids, Peptides, and Proteins; Antibodies",No,,,,,372,0,Yes,Yes,No,Yes,Yes
Alpha-1-proteinase inhibitor,DB00058,biotech,approved,"Acute-Phase Proteins; Alpha-Globulins; Amino Acids, Peptides, and Proteins; Antifibrinolytic Agents; Blood and Blood Forming Organs",Yes,,,Intravenous; Parenteral,DrugBank text extraction,55,0,Yes,Yes,No,No,No
Pegaspargase,DB00059,biotech,approved; investigational,Alcohols; Amidohydrolases; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Asparaginase,Yes,,,,OpenFDA,446,1,Yes,Yes,Yes,Yes,Yes
Interferon beta-1a,DB00060,biotech,approved; investigational,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic and Immunomodulating Agents; Antiviral Agents",Yes,,,,OpenFDA,207,1,Yes,Yes,No,No,Yes
Pegademase,DB00061,biotech,approved,"Adjuvants, Immunologic; Aminohydrolases; Antineoplastic and Immunomodulating Agents; Bovine Intestinal Adenosine Deaminase; Enzymes",Yes,,,Intramuscular,DrugBank text extraction,37,0,Yes,Yes,Yes,No,Yes
Albumin human,DB00062,biotech,approved,"Albumins; Amino Acids, Peptides, and Proteins; Blood and Blood Forming Organs; Blood and Related Products; Blood Derivatives",Yes,Once daily,1,,OpenFDA,0,0,Yes,Yes,No,No,No
Eptifibatide,DB00063,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antiplatelet agents; Blood and Blood Forming Organs; Decreased Platelet Aggregation; Hematologic Agents",Yes,,,,OpenFDA,417,1,Yes,Yes,No,Yes,Yes
Infliximab,DB00065,biotech,approved,"Agents Causing Muscle Toxicity; Agents reducing cytokine levels; Amino Acids, Peptides, and Proteins; Anti-Inflammatory Agents; Antibodies",Yes,,,,OpenFDA,1383,0,Yes,Yes,Yes,No,Yes
Follitropin,DB00066,biotech,approved,"Amino Acids, Peptides, and Proteins; Follicle Stimulating Hormone; Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins",Yes,,,,OpenFDA,214,0,Yes,Yes,Yes,No,Yes
Vasopressin,DB00067,biotech,approved,"Amino Acids, Peptides, and Proteins; Antidiuretic Agents; Arginine Vasopressin; Arginine Vasopressin, analogs & derivatives; Cardiovascular Agents",Yes,,,,OpenFDA,115,0,Yes,Yes,No,Yes,Yes
Interferon beta-1b,DB00068,biotech,approved,"Adjuvants, Immunologic; Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Cytochrome P-450 CYP1A2 Inhibitors",Yes,,,,OpenFDA,655,1,Yes,Yes,No,No,No
Interferon alfacon-1,DB00069,biotech,approved; investigational,"Adjuvants, Immunologic; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic and Immunomodulating Agents",Yes,,,Subcutaneous,DrugBank text extraction,658,0,Yes,Yes,Yes,No,Yes
Hyaluronidase (ovine),DB00070,biotech,approved; investigational,Enzymes; Enzymes and Coenzymes; Glycoside Hydrolases,Yes,,,,OpenFDA,204,0,Yes,Yes,No,No,No
Insulin pork,DB00071,biotech,approved,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Blood Glucose Lowering Agents; Cytochrome P-450 CYP1A2 Inducers; Cytochrome P-450 CYP1A2 Inducers (strength unknown)",Yes,,,Subcutaneous; Intramuscular; Subcutaneous; Intramuscular; Intravenous; Subcutaneous,DrugBank text extraction,925,1,Yes,Yes,No,Yes,No
Trastuzumab,DB00072,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents",Yes,,,,OpenFDA,755,0,Yes,Yes,Yes,Yes,Yes
Rituximab,DB00073,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Murine-Derived; Antineoplastic Agents",Yes,,,,OpenFDA,997,0,Yes,Yes,Yes,Yes,Yes
Basiliximab,DB00074,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic and Immunomodulating Agents",Yes,,,,OpenFDA,670,0,Yes,Yes,No,Yes,Yes
Muromonab,DB00075,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Murine-Derived; Antineoplastic and Immunomodulating Agents",Yes,,,Intravenous,DrugBank text extraction,670,0,Yes,Yes,No,Yes,Yes
Digoxin Immune Fab (Ovine),DB00076,biotech,approved,"Amino Acids, Peptides, and Proteins; Antidotes; Blood Proteins; Digoxin Binding Activity; Immunoglobulin G",Yes,,,Intravenous,DrugBank text extraction,372,0,Yes,Yes,No,No,Yes
Ibritumomab tiuxetan,DB00078,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antigens, CD20; Blood Proteins",Yes,,,,OpenFDA,802,1,Yes,Yes,No,Yes,Yes
Daptomycin,DB00080,small molecule,approved; investigational,"Agents Causing Muscle Toxicity; Amino Acids, Peptides, and Proteins; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use",Yes,Every 24 hours,1,,OpenFDA,1034,0,Yes,Yes,Yes,Yes,Yes
Tositumomab,DB00081,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antigens, CD20; Antineoplastic Agents; Blood Proteins",Yes,,,Intravenous,DrugBank text extraction,1471,0,Yes,Yes,No,Yes,Yes
Pegvisomant,DB00082,biotech,approved,"Acromegaly; Amino Acids, Peptides, and Proteins; Anterior Pituitary Lobe Hormones and Analogues; Cholinesterase Inhibitors; Cytochrome P-450 CYP3A Inducers",Yes,Once daily,1,,OpenFDA,522,0,Yes,Yes,No,No,Yes
Botulinum toxin type A,DB00083,biotech,approved; investigational,"Acetylcholine Release Inhibitors; Agents that produce neuromuscular block (indirect); Amino Acids, Peptides, and Proteins; Bacterial Proteins; Bacterial Toxins",Yes,,,,OpenFDA,901,0,Yes,Yes,Yes,Yes,Yes
Pancrelipase,DB00085,biotech,approved; investigational,"Alimentary Tract and Metabolism; Carboxylic Ester Hydrolases; Complex Mixtures; Digestives, Incl. Enzymes; Enzyme Preparations",Yes,,,,OpenFDA,24,3,Yes,Yes,Yes,Yes,Yes
Streptokinase,DB00086,biotech,approved; investigational,"Agents causing angioedema; Amino Acids, Peptides, and Proteins; Anticoagulants; Blood and Blood Forming Organs; Blood Proteins",Yes,,,Intracoronary; Intravenous; Intravenous; Parenteral,DrugBank text extraction,918,1,Yes,Yes,No,No,No
Alemtuzumab,DB00087,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic Agents",Yes,Twice daily,2,,OpenFDA,840,0,Yes,Yes,Yes,No,Yes
Alglucerase,DB00088,biotech,approved; investigational; withdrawn,Alimentary Tract and Metabolism; Enzyme Replacement Therapy; Enzymes; Enzymes and Coenzymes; Gaucher Disease,Yes,,,Intravenous,DrugBank text extraction,0,0,Yes,Yes,No,No,Yes
Capromab pendetide,DB00089,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Blood Proteins; Compounds used in a research, industrial, or household setting; Diagnostic Radiopharmaceuticals",Yes,,,Intravenous,DrugBank text extraction,393,0,Yes,Yes,No,Yes,No
Laronidase,DB00090,biotech,approved,Alimentary Tract and Metabolism; Enzymes; Enzymes and Coenzymes; Glycoside Hydrolases; Hydrolases,Yes,,,,OpenFDA,0,0,Yes,Yes,No,No,Yes
Cyclosporine,DB00091,small molecule,approved; investigational; vet_approved,Agents causing hyperkalemia; Agents Causing Muscle Toxicity; Agents that produce hypertension; Agents that produce neuromuscular block (indirect); Agents that reduce seizure threshold,Yes,Twice daily,2,,OpenFDA,2359,4,Yes,Yes,Yes,Yes,Yes
Alefacept,DB00092,biotech,approved; investigational; withdrawn,"Amino Acids, Peptides, and Proteins; Antibodies; Antineoplastic and Immunomodulating Agents; Blood Proteins; Carbohydrates",Yes,,,Intramuscular,DrugBank text extraction,353,0,Yes,Yes,Yes,No,Yes
Felypressin,DB00093,biotech,experimental,"Amino Acids, Peptides, and Proteins; Cardiovascular Agents; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Nerve Tissue Proteins",Yes,,,Subcutaneous; Buccal; Parenteral,DrugBank text extraction,10,0,Yes,Yes,No,No,No
Urofollitropin,DB00094,biotech,approved; vet_approved,"Amino Acids, Peptides, and Proteins; Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins; Gonadotropins, Pituitary",Yes,,,Intramuscular; Intramuscular; Subcutaneous; Parenteral; Subcutaneous; Parenteral; Subcutaneous,DrugBank text extraction,0,0,Yes,Yes,Yes,No,Yes
Efalizumab,DB00095,biotech,approved; investigational; withdrawn,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antigens, CD11",Yes,,,Subcutaneous,DrugBank text extraction,670,0,Yes,Yes,Yes,No,Yes
Choriogonadotropin alfa,DB00097,biotech,approved,Genito Urinary System and Sex Hormones; Gonadotropins; Gonadotropins and Antigonadotropins; Sex Hormones and Modulators of the Genital System,Yes,,,,OpenFDA,0,0,Yes,Yes,Yes,No,Yes
Antithymocyte immunoglobulin (rabbit),DB00098,biotech,approved,"Amino Acids, Peptides, and Proteins; Antibodies; Antibody-Surface Protein Interactions; Antineoplastic and Immunomodulating Agents; Biological Products",Yes,,,Intravenous; Parenteral,DrugBank text extraction,669,0,Yes,Yes,Yes,Yes,Yes
Filgrastim,DB00099,biotech,approved,"Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Biological Factors; Colony-Stimulating Factors; Glycoconjugates",Yes,Twice daily,2,,OpenFDA,10,0,Yes,Yes,Yes,Yes,Yes
Coagulation Factor IX (Recombinant),DB00100,biotech,approved; investigational,Blood Coagulation Factors; Hemostatics; Increased Coagulation Activity,Yes,,,,OpenFDA,92,0,Yes,Yes,No,No,Yes
Becaplermin,DB00102,biotech,approved; investigational,"Acids; Acids, Noncarboxylic; Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Angiogenesis Inducing Agents",Yes,Once daily,1,,OpenFDA,0,0,Yes,Yes,Yes,No,No
Agalsidase beta,DB00103,biotech,approved; investigational,"Alimentary Tract and Metabolism; Amino Acids, Peptides, and Proteins; Enzymes; Enzymes and Coenzymes; Galactosidases",Yes,,,,OpenFDA,4,0,Yes,Yes,Yes,Yes,Yes
Octreotide,DB00104,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antineoplastic Agents; Antineoplastic Agents, Hormonal; Bradycardia-Causing Agents; Cytochrome P-450 CYP3A Inhibitors",Yes,Three times daily,3,,OpenFDA,782,2,Yes,Yes,Yes,Yes,Yes
Interferon alfa-2b,DB00105,biotech,approved,"Adjuvants, Immunologic; Alfa Interferons; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antineoplastic Agents",Yes,,,Intralesional; Intramuscular; Intravenous; Subcutaneous; Intramuscular; Intravenous; Subcutaneous; Intramuscular; Subcutaneous; Intravenous; Subcutaneous; Parenteral; Subcutaneous; Oral; Subcutaneous; Intravenous; Parenteral; Subcutaneous; Parenteral; Subcutaneous; Intralesional; Intramuscular; Subcutaneous,DrugBank text extraction,692,1,Yes,Yes,Yes,No,Yes
Abarelix,DB00106,small molecule,approved; investigational; withdrawn,"Amino Acids, Peptides, and Proteins; Antineoplastic and Immunomodulating Agents; Endocrine Therapy; Hormone Antagonists; Hormone Antagonists and Related Agents",No,,,,,0,0,Yes,Yes,Yes,Yes,Yes
Oxytocin,DB00107,biotech,approved; vet_approved,"Amino Acids, Peptides, and Proteins; Genito Urinary System and Sex Hormones; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Increased Uterine Smooth Muscle Contraction or Tone",Yes,,,,OpenFDA,407,0,Yes,Yes,Yes,Yes,Yes
Natalizumab,DB00108,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized; Antineoplastic and Immunomodulating Agents",Yes,,,,OpenFDA,672,0,Yes,Yes,Yes,Yes,Yes
Enfuvirtide,DB00109,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Anti-HIV Agents; Anti-Infective Agents; Anti-Retroviral Agents; Antigens",Yes,Twice daily,2,,OpenFDA,15,0,Yes,Yes,Yes,Yes,Yes
Palivizumab,DB00110,biotech,approved; investigational,"Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Antibodies; Antibodies, Monoclonal; Antibodies, Monoclonal, Humanized",Yes,,,,OpenFDA,387,0,Yes,Yes,No,Yes,Yes
