Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
"2-[(1R)-1-CARBOXY-2-(4-HYDROXYPHENYL)ETHYL]-1,3-DIOXOISOINDOLINE-5-CARBOXYLIC ACID",DB07663,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
K-00546,DB07664,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide",DB07665,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(3R,4S)-1-{6-[3-(METHYLSULFONYL)PHENYL]PYRIMIDIN-4-YL}-4-(2,4,5-TRIFLUOROPHENYL)PYRROLIDIN-3-AMINE",DB07666,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2-((3',5'-DIMETHYL-4'-HYDROXYPHENYL)AZO)BENZOIC ACID",DB07667,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
alpha-Methyl-2-hydroxy-4-diethylaminocinnamic acid,DB07668,small molecule,experimental,"Acids, Carbocyclic",No,,,,,0,0,No,No,No,No,No
"2,3-Dimethyl-1,4-naphthoquinone",DB07669,small molecule,experimental,Naphthalenes; Quinones,No,,,,,0,0,No,No,No,No,No
"N,4-Dimethyl-N-(1-phenyl-1H-pyrazol-5-yl)benzenesulfonamide",DB07670,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2-[1-METHYLHEXYL]-4,6-DINITROPHENOL",DB07671,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
TRANS-2-(DIMETHYLPHENYLSILYL)-PIPERIDINE-N-OXIDE,DB07672,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(2S)-2-Methyl-3-phenylpropanoic acid,DB07673,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"O,O-DIETHYL HYDROGEN THIOPHOSPHATE",DB07674,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID,DB07675,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-({[(3S)-3,4-dihydroxybutyl]oxy}amino)-1H,2'H-2,3'-biindol-2'-one",DB07676,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one",DB07677,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL",DB07678,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(9S,12S)-9-(1-methylethyl)-7,10-dioxo-2-oxa-8,11-diazabicyclo[12.2.2]octadeca-1(16),14,17-triene-12-carboxylic acid",DB07679,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
[(1S)-1-(5-CHLORO-1-BENZOTHIEN-3-YL)-2-(2-NAPHTHYLAMINO)-2-OXOETHYL]PHOSPHONIC ACID,DB07680,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
DODECANESULFONATE ION,DB07681,small molecule,experimental,Cholinesterase Inhibitors,No,,,,,0,0,No,No,No,No,No
"N-(dibenzo[b,d]thiophen-3-ylsulfonyl)-L-valine",DB07683,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
5-(DIMETHYLAMINO)-2-NAPHTHALENESULFONIC ACID,DB07684,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-{[5-(CYCLOHEXYLMETHOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",DB07685,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",DB07686,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-({5-[(4-AMINOCYCLOHEXYL)AMINO][1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL}AMINO)BENZENESULFONAMIDE",DB07687,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-{[5-(CYCLOHEXYLOXY)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",DB07688,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"METHYL 1-(4-{[(2,4-DIAMINOPTERIDIN-6-YL)METHYL]AMINO}BENZOYL)PIPERIDINE-4-CARBOXYLATE",DB07689,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2-({[3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid",DB07691,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1-[(2,6-difluorophenyl)sulfonyl]-4-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)piperazine",DB07692,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide",DB07693,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide",DB07694,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide",DB07695,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate,DB07696,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine",DB07697,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-(3-aminophenyl)-N-(3-chlorophenyl)pyrazolo[1,5-a]pyrimidin-5-amine",DB07698,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-carboxamido-1,3,5(10)-estratrien-17(R)-spiro-2'(5',5'-dimethyl-6'oxo)tetrahydropyran",DB07700,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",DB07701,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
17alpha-Estriol,DB07702,small molecule,experimental,,Yes,,,Cutaneous,DrugBank text extraction,0,0,No,No,No,No,No
"(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE",DB07703,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"6-AMINO-4-[2-(4-METHOXYPHENYL)ETHYL]-1,7-DIHYDRO-8H-IMIDAZO[4,5-G]QUINAZOLIN-8-ONE",DB07704,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(S)-econazole,DB07705,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
